"X_0_0";"X_0_1";"X_0_2";"X_0_3";"X_0_4";"X_0_5";"X_1_0";"X_1_1";"X_1_2";"X_1_3";"X_1_4";"X_1_5";"X_2_0";"X_3_0";"X_4_0"
-3.3265919413774292e-01;-4.9203478284871560e-01;-1.4597758505317515e+00;1.1057065270885733e+00;-9.1015314421426019e-01;-5.6359134685853352e-01;9.6376059723318475e-01;1.1848744458586848e+00;1.0675577834579146e+00;6.4618520474827057e-01;-1.5712884541896621e+00;-2.8258775554058813e-01;2.2762450999792250e-01;1.9203022207218285e+00;-7.7558396199997853e-02
-2.4630653942449299e+00;1.3918735595153151e+00;-1.8951776908570386e-01;-7.3984035107995783e-01;4.0848048860782826e-01;5.0051363952925465e-01;-1.5839461893207574e+00;1.1308281614005165e+00;-4.4663200598647912e-01;-2.8759646441482689e-01;-1.0870495008499867e-01;9.6936792521383885e-01;5.8747473962925711e-01;-5.7519710345724873e-01;-2.1046793859697208e-01
-8.4632847455229443e-01;-1.3353987922406368e-01;-3.2049743087224664e-01;-1.2129653429668683e-02;2.1692748562492586e-01;6.1529747750158115e-01;-4.0015418256057012e-01;-1.5576169601139780e+00;-5.6005478928702501e-01;-5.9813308252364583e-01;1.0265279712479340e+00;7.0392633468557420e-01;-1.1676366386030337e+00;1.8790196107120780e-01;-3.2480797151809593e-01
-4.6257707158315403e-01;-7.2351004889183079e-01;-8.2855923202366188e-01;-5.4809862323148362e-01;2.2116337827935519e-02;3.8589270247463719e-01;1.8626999025107269e+00;1.7062920924340013e+00;-1.2089885779999339e+00;-8.5374250787972716e-01;-8.8397901704842596e-01;5.0797281900075353e-01;1.6190714857737842e+00;-5.6499666732549324e-02;4.4706353274402671e-01
2.8076071736016867e-01;-8.3314781486578615e-01;-1.3885201112842975e+00;1.7915367982568711e-01;2.6324470706646091e-01;1.1322034437114705e+00;2.4868921754107016e+00;1.5983629079948840e+00;-8.6947079984395226e-01;-3.3874533740065160e-01;3.8223859523038939e-01;-3.7969871791854054e-01;-1.2002295695722256e+00;4.0830200032503028e-01;3.8437292194134615e-01
5.5260890053956867e-02;-1.0739452976411228e+00;2.5103724462295003e+00;9.6700439116266135e-01;3.5458486073783174e-01;-2.4309588938130247e-01;-1.0050558457728103e+00;-1.7375341793839869e+00;1.1443016833841082e+00;-4.0636203660780490e-01;-9.4001212503756360e-01;3.4089173826542113e-01;-1.0812063780035748e+00;-2.9725840439718731e-01;9.5136410272686656e-01
1.5982435222897255e+00;6.6364085853105037e-01;1.5911027922962049e+00;-1.1745220543467783e+00;4.9747080116398179e-01;-9.1159253769529180e-01;2.2003205463938616e-01;8.7103089688947796e-02;3.7022813297333412e-01;1.6582928912220021e-01;-6.4891543319900968e-01;-5.0646527013284681e-01;-2.5327406256415447e-01;-1.6320566054260575e+00;4.5371578798832135e-02
1.0934688279857281e+00;-1.0170626997410568e+00;-2.6471949399528288e-01;6.9055321623469457e-01;-2.3634557318873584e-01;1.3263470159375308e+00;7.8078207498041112e-03;7.5611118169314839e-01;5.6884670209806742e-01;1.0249702360336006e+00;-1.1993822016582953e+00;1.0714239378099630e+00;8.5796840055578516e-01;-3.0719468394455290e-01;-4.2142393350844110e-01
2.4441157554344670e-01;-4.9925894482275801e-01;-4.9796895122920659e-01;-1.6191324565474139e+00;-1.7979769636460645e+00;-4.7503817749780658e-01;-2.1919228146512215e+00;1.2886166449658245e+00;6.5706676475357606e-01;-1.0698735451376329e+00;-8.5397838415147656e-02;-1.5419568702752251e-01;-1.5405797475605573e-01;7.7588506396604384e-01;-4.6144357047599521e-01
-8.8550368851614336e-01;1.0226280191282984e+00;7.2790178797615912e-01;2.2271440880164870e+00;-1.1018616162610875e+00;4.9453083760574618e-01;-8.5876705740373349e-01;5.6752133041910735e-02;5.0864642926226034e-01;-7.0089913013645733e-01;5.4163082657824579e-01;-1.5534550310346471e+00;-1.4839125729362415e+00;1.1126427356189554e+00;-7.1338704400271402e-02
-1.8589180043500484e+00;3.7542908564831395e-01;2.1667469169276790e+00;1.6542270987320835e+00;7.5816267526407710e-01;1.1373330006831141e-02;9.9716509470968206e-01;-7.6176923338507632e-02;-7.5747046532024565e-01;-4.2927918826010429e-02;-6.1446495946001567e-01;-1.1121141279515283e+00;1.1986292569486823e+00;4.8590280212511194e-01;-1.4544922163654361e+00
-5.3549117722338546e-01;-1.6783622689755453e+00;1.0646647296367309e+00;1.2716065319320051e+00;1.5751825420196490e+00;5.6179816931221448e-02;1.4126450514523500e-01;-3.1115140515987944e-01;-1.3483114860844239e-01;5.4496968139823365e-01;-1.2501225139092835e+00;8.4623294842268026e-01;7.5951086745154839e-01;-1.4214872411986246e+00;-1.9507554226923715e-01
2.1429771323675388e+00;7.6392638993073991e-01;-5.5522693896483988e-01;-2.1807759312085725e-01;-2.5598722632197771e-02;-7.1591081169419235e-01;5.8986311060602437e-01;-1.2815097353125040e+00;-9.7764022103632803e-02;-1.2095023918631727e-01;2.0098803186205941e-01;4.0681424372314151e-01;-2.5483863587509908e-01;6.0770355234424744e-01;1.3680382314024038e+00
7.8335989868310951e-01;1.0412635685674967e+00;1.5451216446826729e-01;1.0652931165496701e-01;-2.6895964237516673e-01;-3.8971187071440272e-01;-1.7351982212965005e+00;-2.4457720935215965e+00;6.1325217027780998e-01;6.9039222345227713e-01;2.9344332724909611e-01;1.1442403923222697e+00;-3.4911846219199644e-01;-1.3626693545882040e+00;-5.7910248212393867e-01
-1.8860747923451124e-01;-4.4275567688976697e-01;-7.6387284257796451e-01;-1.2015192483131554e+00;-3.5308204596635673e-01;4.4371173554078980e-01;-3.5882051630693640e-01;6.3235421516484380e-01;-1.5385872952063795e+00;-2.3257459547509098e+00;9.2523325096432096e-01;-7.0635608890419510e-01;-1.9054934834253645e-01;-6.3507292628928802e-01;7.3993359852592799e-01
6.5605849451879639e-01;3.1453182188112612e-02;-1.8332867731618130e+00;-1.3356360327970580e+00;-2.0219843834936850e+00;2.8431309999201915e-01;2.9492692928776287e-01;-5.0528472199533679e-02;-1.6919508344838168e+00;3.5065580845172822e-01;-5.7700744160751438e-01;-1.7159789845142901e+00;7.3321742558005409e-01;1.8086406860199205e+00;-2.1412995990581067e+00
-4.7630996019379895e-01;1.3321613765192093e+00;-1.3106045466303364e+00;1.3983960118385845e+00;-7.8362638465450607e-01;1.7829974585926069e+00;-1.1171944264429476e+00;8.4058557555465284e-03;1.6414164409485321e+00;-2.3480524006626000e+00;-4.6660536275009445e-01;-1.9512575185475754e-02;2.9266544575295844e-02;9.2162842549353208e-01;8.4796655736511239e-01
4.0381327742985923e-01;-3.2407255849482586e-01;6.9230700696265124e-01;2.7091936793637733e-01;-8.6636895636700262e-01;-1.1015683538144772e+00;-1.3977897413474809e+00;-2.3150501713249977e-01;9.5222497517081028e-01;8.1446982807202506e-01;1.0582402599695744e+00;-9.2962828877519199e-01;6.0866203735272482e-02;8.2361794505294350e-01;-7.1930087066732240e-01
-2.0346413115373974e+00;-4.2071790186867281e-01;-7.8521768488156451e-01;2.3228394654156273e-01;5.5153809516412311e-01;1.2416402565318516e+00;1.3922673978363471e+00;-1.1015846721267377e+00;1.2722284712046559e+00;2.5296706803710023e-01;2.2036611313900254e+00;4.2900692494999459e-01;1.7576590402109332e-01;-1.1773258642927180e+00;1.6598806235616808e+00
-1.4996001274456314e+00;-7.7742114121737360e-01;6.0324921339646831e-01;-2.9254522567507255e+00;1.0472158488943988e+00;-2.1167335311155644e-01;3.6444517448971953e-01;6.8311998819035824e-01;-6.9016603552075007e-01;6.3776494018145069e-01;8.2386801976397472e-01;1.2914729596584384e+00;-6.3146525182250990e-01;-8.2556495094215032e-01;-8.6889664468955685e-01
1.4090381816599069e+00;-2.5251163290793149e-01;-6.3911347456488865e-01;5.9827981084074455e-01;7.1251208342129246e-01;-4.5715126484153612e-01;6.8284344835827826e-01;2.6371232866571120e-01;1.2197746494432375e+00;-1.1353449434567240e+00;-1.8365121344251680e+00;9.2779954257298136e-01;-1.7816792675465523e+00;-5.8919192683461508e-01;-1.2263339359843712e+00
3.3727414418559282e-01;-1.3614917417633293e-02;-7.2653522051723374e-01;5.3457568516158049e-01;-1.6101372394740603e+00;-1.1377983172184918e+00;5.6644514951131397e-01;-1.5260750275016870e+00;1.7166735558676230e-01;5.9049295456294493e-01;-7.8512947256403698e-01;7.4522845982091940e-02;-1.5951771974159583e+00;-1.6413077054703409e-01;-3.6098168698274075e-01
