"E_0";"E_1";"E_2";"E_3";"E_4";"E_5";"D_0";"D_1";"D_2";"D_3";"D_4";"D_5";"Rho_0";"Fpos_0";"Fnorm_0"
-1.2725992539533001e-01;3.0709833581981777e-01;1.3524046717644496e+00;1.1568278005598682e+00;7.2129271122013605e-01;2.0463858434101621e-02;-4.8410501267537415e-01;-1.2104730786251887e+00;4.5117922937101873e-01;7.6084294149783449e-01;-3.8509029078958312e-01;1.5293147506178675e-02;-1.2662600126301407e+00;1.0844111117736410e+00;-4.2287262398219044e-01
1.8718780037061991e-01;-4.3936950176304979e-01;-4.4190673786352708e-01;1.3409865814111857e+00;-1.8694970369593136e+00;1.1898158059969817e+00;-5.6521290199192165e-01;9.4020027820451901e-01;-4.4829197247289959e-01;-4.0958144333372659e-01;2.2175991852242269e+00;3.4173587358965540e-01;-1.5636305216844507e-01;-1.2365891416546890e+00;1.0087279472433532e+00
-5.7819340040274692e-01;-3.4505923273805250e-01;2.0830824550980074e+00;1.9862013865034733e+00;-5.0585210353204024e-01;1.7133058176420371e-01;-5.0836141845002691e-01;3.8951763165447784e-01;1.1181450147818030e-01;6.3793597736157293e-01;-1.1816793957385414e+00;-1.8319889254622466e+00;1.1490315623499840e+00;-2.5988587072885266e-01;5.2716566507616081e-01
9.2302876386669286e-01;-1.4519663267257701e+00;1.5383053338642676e+00;-7.2836132111455842e-01;-6.3168820718772634e-01;4.5007839457974413e-01;-5.0799524702237508e-01;-1.9635435341302174e-01;-7.9900161202126230e-02;-6.7660728251608937e-01;9.3764603419387993e-01;-5.4425371488782470e-01;-1.1486666030305346e+00;-1.2698158737263501e+00;-1.5778233788130669e+00
-3.6448448779647447e-01;4.2724612639838433e-01;-9.3915281927374705e-01;1.6329613651090938e-01;7.6944958532675534e-01;-5.1204294544074958e-01;-3.3387232102832692e-01;-5.9404776383764368e-01;6.0886287331649115e-02;-2.9978677801562243e+00;-2.3400307415453407e+00;1.7126062360585947e+00;6.1286587881698862e-01;1.1091419157125450e-03;6.6019447287329591e-01
-8.1998908841730736e-02;-1.8024595051633011e-01;-4.3699970598226301e-01;-6.1378429327756800e-01;1.2237022810949350e+00;9.1892384707072772e-01;7.8523436044875750e-01;-1.6806074418013226e+00;1.1650622503853640e+00;1.4294087413185821e+00;-2.0858560474022942e+00;-1.0057266243111780e+00;-8.8284733307250984e-01;5.9314047064042064e-01;7.9091341914183905e-02
-1.4642086815821949e+00;-1.6433392621607387e-01;-1.6463670088780984e+00;-1.2964487730721981e+00;3.5992927741822039e-01;6.1550247807347358e-01;7.7298073130058320e-01;6.3105703407441138e-01;-4.7260596760356477e-01;-1.7733877137774362e-01;8.5553894479290671e-01;1.3785597501132008e+00;5.1883476644049742e-01;-1.7286282455507433e+00;1.1727860569764696e+00
5.3678184618795910e-01;-1.1937684070012802e+00;1.0648031288076427e+00;1.2959441649985240e-01;1.1861069140476821e+00;6.9603736561643126e-01;6.0973178240229875e-01;-8.9266296129253608e-01;7.5631804625127175e-01;-1.6547380611459430e+00;-3.5616413840161210e-01;5.8284698111552180e-01;-4.6522606196555474e-02;-7.3883989698644445e-02;-9.4244953638988993e-01
1.1930685270782799e+00;1.1327095441783015e+00;-4.5553029341161172e-01;-2.0175892895299638e-01;-1.0791843246392463e+00;-7.6896302153348917e-01;8.2367089092959400e-01;1.8009497684596769e+00;-9.6627689100604541e-01;-9.1002006351313758e-01;-8.9994127092209664e-01;-2.4746310426053866e-01;1.6121201243821315e-01;-1.6565436091902067e-01;-1.4887603969072329e+00
6.1887585955026680e-01;-5.4258284457890360e-01;1.4649418312465787e+00;3.8398838534560042e-01;-1.1597914625132297e+00;5.2071353337836773e-02;3.4429652562835772e-01;-9.5910807142025278e-01;6.0501465894885198e-02;2.0228269628006590e+00;-1.3510954347193456e+00;1.3587946585467359e+00;2.4091650016450026e+00;1.2372558761335876e-01;1.3986611195793131e+00
