"E_0";"E_1";"E_2";"E_3";"E_4";"E_5";"E_6";"D_0";"D_1";"D_2";"D_3";"D_4";"D_5";"D_6";"D_7";"Rho_0";"Fpos_0";"Fnorm_0"
6.0820165121876457e-01;3.1048546275884509e-01;-1.0609384279416934e+00;-2.5573294335208470e+00;1.2613328879736313e-01;-4.9931505816428101e-01;-1.0109242823790721e+00;-1.9950548693228394e+00;7.8623020087003537e-01;3.3965924468501979e-01;1.0967072182194750e+00;1.1548980471773063e+00;-8.0156310651957252e-01;5.0866479254349639e-01;5.8833976847926399e-02;-3.4260494074099740e-01;-3.6263314488797999e-01;-2.3523782686278297e-01
-1.2661731022166567e+00;8.2139907949804070e-01;-8.7948681502847992e-01;-1.2605848746735269e+00;-1.5498861489950260e+00;-3.1133682981731586e-01;1.6078965558853769e-01;2.0648864989388813e-01;-1.3940833310977123e+00;-1.7459682991060215e+00;4.8294533351122992e-01;1.3654467015359431e+00;8.0463198274008652e-01;-1.6881307915342725e-01;-1.4254804385338815e-01;-2.1386534433938884e+00;1.7263201838958600e-01;-1.8121708681826028e+00
-4.3826561996041397e-01;-7.4183617793194845e-01;-4.6977861946811444e-01;-4.1955852327720133e-01;-1.0211255980802654e+00;-4.0344948322310409e-01;-1.3500045891155974e+00;1.4215152459500775e+00;6.9959498845962120e-01;6.0275341136405558e-01;-1.4504703173225189e+00;-5.5440808012907065e-02;4.7745931197123298e-01;1.9019046105333757e+00;-1.6921608217742212e+00;-6.2127165276042029e-01;6.1786556978288454e-01;-9.2697917230291949e-01
1.2054782008285756e+00;6.4156453475786290e-01;-1.2430773114101927e+00;2.4806068557993302e-01;-2.4675942855601712e-01;-2.5345255304666653e-01;-4.1896285779326374e-03;-5.7304443288732798e-01;-4.7851960251337156e-01;4.3750809066030094e-01;9.6484351334015436e-02;-1.7875606946537415e+00;-4.1234281831566444e-01;-1.0284283411567245e+00;-2.6940477086610382e-01;1.4094582372870545e-01;1.9450374678656644e-02;9.2360701844555748e-01
-2.1813852346165143e+00;-4.0877337581114370e-01;-6.3377349728834442e-01;4.6399875592261819e-01;-2.5032237202914204e-01;-5.4604090730463420e-02;5.8967649803598210e-01;-4.8612392044437364e-01;-1.6370403338491848e-01;-2.3815447104214177e-01;7.6227613011412843e-01;-1.3475881928595546e+00;4.1170440675969067e-01;1.5946029908843953e-01;1.0526623707357337e+00;3.0566221725711740e-01;4.0030904185188004e-01;-8.1711655741206687e-02
3.5004208653029067e-01;-1.1121404765017644e+00;5.4582021068064979e-01;-1.3313242150848835e-02;-1.0589110209387103e+00;-1.5991858675738713e+00;1.0017928525525037e+00;3.0463858193367149e-01;-5.4491259834174306e-02;3.2870602316158665e-01;-8.7538641631422542e-01;6.0729957868225759e-01;1.7381430378158133e-02;-1.2662156726264243e-01;-1.4155700408615204e+00;-1.5187990569006284e+00;1.1063374042054559e+00;-1.0583119711203910e+00
-3.5500704918563969e-01;-1.2500984271293751e+00;5.0084621113291705e-01;6.8278193875540305e-01;2.1137317390700554e+00;1.2796161928641194e+00;1.0022792830350811e+00;2.4029934081007703e-01;2.9084348206108174e-01;-3.8644109934530479e-01;7.5320667404173658e-01;-7.0721317288055030e-01;1.4727362167098059e+00;5.1005581507734732e-01;-2.3602827652440426e+00;1.8603263783642712e+00;8.4378564352978982e-02;1.4151526775711301e+00
1.4372493101409030e+00;3.0332687642435413e-01;-1.6385067618062981e+00;1.9845628155643968e-01;4.6299897088112330e-01;8.8007621161256516e-02;1.5338914552775982e+00;-8.3505914436421735e-01;-3.4939146883112837e-01;-1.0243556476459543e+00;-1.6231174890510116e+00;6.8375707630597760e-01;2.8233181981090205e-01;-2.7004457252224325e+00;1.2193192438387515e-01;3.2770564349706716e-01;-1.2098163034926661e+00;-6.1199645026380867e-01
8.1066798246948368e-01;1.3747657205238279e+00;1.2064822091695782e+00;-3.4440114403850186e-01;-1.0743066776920347e+00;-1.2446646325389454e+00;-3.0829430495975862e-01;-5.7004673435207842e-01;-7.5751369546440128e-01;-5.7388535389326034e-01;-4.5105825531560650e-01;-1.5454605022953924e+00;1.2971136647217290e+00;-4.0857968116068494e-01;-2.6887434343313360e-01;-3.9528325564911987e-01;9.0709117795553951e-01;-1.3639835099699658e+00
7.9315601145976999e-01;-4.5090957233706169e-01;4.9972032054239229e-01;-8.3794481471314330e-01;-1.9282469980886521e+00;6.6198256674756328e-01;1.1679170614771992e+00;-1.4147783927728412e+00;1.2446867955903607e+00;1.7178494390151802e+00;-8.7281020837461265e-01;-1.1632136770022079e+00;2.1289621404345874e-01;-1.8181990948582154e+00;-3.5820155005455845e-01;4.5610178231733167e-01;2.1158522323064172e-01;-2.1124860396603156e+00
-4.7052559863257037e-01;-3.6787073598143366e-01;-4.4532687195399928e-01;-9.1307521890159105e-01;-1.2095766650002719e+00;3.9696611935067444e-01;1.0310760652968260e+00;-1.1974406943526164e+00;-7.6914604694178090e-01;-2.0106269420703812e-01;2.0607456259341976e+00;9.9757648273088950e-01;7.0386052332490789e-02;1.0212123178312345e+00;1.8909707938233506e+00;-6.8963696686779097e-01;-4.5345890487893975e-01;-7.7184220690604521e-01
2.6101793529769673e-01;-1.2496281684723050e+00;1.7244017581960430e-01;3.0960222084378985e-01;-3.0105125703774216e-01;-2.0919020619770499e+00;1.0823689172168439e-01;-8.8307814623974723e-01;2.7788934630922198e-02;1.6850715968705781e+00;7.1182074667850204e-02;1.2874452886916452e-01;1.5034409780673846e-01;6.7061695917977127e-01;-1.1623379078205422e+00;-1.4635227971736484e+00;1.5519267878207843e+00;-7.3191938204475115e-01
-2.2900619818700854e+00;-1.2191409724050186e+00;-1.9405126705081399e+00;7.5653459848420179e-01;1.3017737514288443e+00;2.0146492699852336e+00;4.2588340355701992e-01;1.0467807443697534e-01;1.6637678371942266e-01;4.6767398673961141e-01;-1.5925036595849205e+00;2.4608983328875703e-01;-7.6680425039633271e-01;6.0212906932233368e-01;-3.6829259640839773e-02;5.6835848193278068e-02;1.3866721574668284e+00;1.0617100086297028e-01
